site_id,site_name,latitude,longitude,elevation,geology,rock_age,monitoring,Land,lat_start,lat_stop,long_start,long_stop
31,Abaliget cave,46.13,18.12,209,limestone,Triassic,yes,Ungarn,46,47,18,19
32,Anjokipoty cave,-15.5784,46.7344,NULL,limestone,unknown,no,Madagaskar,-15,-16,46,47
33,Bero cave,8.4241,40.3073,1363,limestone,Jurassic,yes,Äthiopien,8,9,40,41
34,Cueva del Diablo,18.192,-99.921,1030,unknown,Cretaceous,no,Mexiko,18,19,-99,-100
35,Curupira cave,-15.2002,-56.7839,420,limestone,unknown,no,Brasilien,-15,-16,-56,-57
36,Dayu cave,33.133,106.3,870,dolomite,Precambrian,no,China,33,34,106,107
37,DeSoto caverns,33.3722,-86.3667,150,dolomite,Ordovician,unknown,Antarktis,33,34,-86,-87
38,Diva cave,-12.3667,-41.5667,680,limestone,unknown,no,Brasilien,-12,-13,-41,-42
39,Dongge cave,25.28,108.08,680,unknown,Pleistocene,no,China,25,26,108,109
40,Excentrica cave,37.1,-7.77,100,limestone,Cretaceous,yes,Portugal,37,38,-7,-8
41,Fukugaguchi cave,36.9917,137.8,170,limestone,Permian,yes,Japan,36,37,137,138
42,Ifoulki cave,30.708,-9.3275,1250,limestone,unknown,no,Marokko,30,31,-9,-10
43,Kalakot cave,33.2219,74.4258,826,limestone,Precambrian,no,Indien,33,34,74,75
44,Kapsia cave,37.6233,22.3539,700,limestone,Triassic,yes,Griechenland,37,38,22,23
45,Kulishu cave,39.68,115.65,610,dolomite,Precambrian,no,China,39,40,115,116
46,Labyrintgrottan cave,66.06,14.68,730,limestone,Ordovician,no,Schweden,66,67,14,15
47,Larshullet cave,66,14,400,marble,unknown,no,Norwegen,66,66,14,14
48,Leviathan cave,37.89,-115.58,2400,limestone,Devonian,yes,USA – Nevada,37,38,-115,-116
49,McLean's cave,38.07,-120.42,300,limestone,Triassic,no,USA – Kalifornien,38,39,-120,-121
50,Moaning cave,38.0717,-120.4655,520,limestone,Triassic,no,USA – Kalifornien,38,39,-120,-121
51,Natural Bridge caverns,29.69,-98.34,306,limestone,Cretaceous,yes,USA – Texas,29,30,-98,-99
52,Pau d'Alho cave,-15.2055,-56.8,340,limestone,unknown,no,Brasilien,-15,-16,-56,-57
53,Pippikin Pot cave,54.2143,-2.5123,320,limestone,Carboniferous,yes,England,54,55,-2,-3
54,Sahiya cave,30.6,77.8667,1190,unknown,unknown,no,Indien,30,31,77,78
55,Sieben Hengste cave,46.75,7.81,1955,limestone,Cretaceous,unknown,Schweiz,46,47,7,8
56,Skala Marion cave,40.6387,24.5144,41,limestone,Miocene,unknown,Griechenland,40,41,24,25
57,Soylegrotta cave,66,14,280,marble,unknown,yes,Norwegen,66,66,14,14
58,Spannagel cave,47.08,11.67,2310,marble,Jurassic,no,Österreich,47,48,11,12
59,Suozi cave,32.43,107.17,700,limestone,Permian,no,China,32,33,107,108
60,Taurius cave,-15.5333,167.0167,230,unknown,unknown,no,Vanuatu,-15,-16,167,168
61,Timta cave,29.8381,82.0336,1900,unknown,unknown,no,Nepal,29,30,82,83
62,Torrinha cave,-12.3667,-41.5667,680,limestone,unknown,unknown,Brasilien,-12,-13,-41,-42
63,Tzabnah cave,20.73,-89.716,20,unknown,unknown,unknown,Mexiko,20,21,-89,-90
64,Wah Shikhar cave,25.25,91.8667,1290,unknown,unknown,no,Indien,25,26,91,92
